OPIS Truckstop ID,Truckstop Name,Address,City,State,Full Address,Latitude,Longitude,Rack ID,Retail Price
69904,LOVES TRAVEL STOP #695,US-54/400,Cunningham,KS,LOVES TRAVEL STOP #695 Cunningham KS ,38.620129,-97.500795,570,3.65733333
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,CORNER MARKET #117 Dodge City KS ,37.739155,-100.01776,357,3.399
62075,FLYING J TRAVEL PLAZA #657,US-283/US-50/US-56 & US-400,Dodge City,KS,FLYING J TRAVEL PLAZA #657 Dodge City KS ,39.035037,-96.798577,570,3.799
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,One9 #403 Heiskell TN ,36.230046,-83.842182,405,2.999
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,PILOT TRAVEL CENTERS #270 Knoxville TN ,35.88764,-84.485824,405,3.439
69141,LOVES TRAVEL STOP #558,US-283 & US-400/US-56,Dodge City,KS,LOVES TRAVEL STOP #558 Dodge City KS ,37.752554,-100.019246,570,3.789
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,ONE9 #1366 Holladay TN ,36.14051,-85.54092,460,2.98566666
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,TA KNOXVILLE EAST TRAVEL CENTER Knoxville TN ,35.943363,-83.899055,405,3.42566666
70754,CASEYS #3758,US-77,Douglass,KS,CASEYS #3758 Douglass KS ,37.799867,-95.946586,570,3.264
71320,TA EXPRESS EDGERTON #284,I-35 EXIT 205,Edgerton,KS,TA EXPRESS EDGERTON #284 Edgerton KS ,38.765578,-95.019237,400,3.699
66750,LOVES TRAVEL STOP #177,I-35,El Dorado,KS,LOVES TRAVEL STOP #177 El Dorado KS ,37.817419,-96.849821,336,3.25566666
67168,LOVES TRAVEL STOP #455,"I-70, EXIT 145",Ellis,KS,LOVES TRAVEL STOP #455 Ellis KS ,38.462929,-95.459258,525,3.623
67168,LOVES TRAVEL STOPS #455,"I-70, EXIT 145",Ellis,KS,LOVES TRAVEL STOPS #455 Ellis KS ,38.947665,-99.56091,525,3.689
72916,CASEYS #2562,SR 140 & SR 156,Ellsworth,KS,CASEYS #2562 Ellsworth KS ,38.7395148,-98.2164905,357,3.46566666
1163,SHORT STOP #13,US-54,Emporia,KS,SHORT STOP #13 Emporia KS ,38.4231427,-96.2161607,553,2.839
1487,ROADRUNNER MARKET #6019,"I-81, EXIT 36 NORTH",Greeneville,TN,ROADRUNNER MARKET #6019 Greeneville TN ,36.1804806,-82.8190569,405,3.499
1492,MAPCO #3538,"I-24, EXIT 174",Chattanooga,TN,MAPCO #3538 Chattanooga TN ,35.0183697,-85.3796147,285,2.899
1507,CIRCLE K #4703941,"I-55, EXIT 5A",Memphis,TN,CIRCLE K #4703941 Memphis TN ,35.1485812,-90.0518955,435,3.189
1562,I MART #108,"I-40, EXIT 108",Wildersville,TN,I MART #108 Wildersville TN ,35.7933189,-88.3918332,435,3.099
63568,FLYING J TRAVEL PLAZA #658,"I-35, EXIT 127",Emporia,KS,FLYING J TRAVEL PLAZA #658 Emporia KS ,38.403903,-96.1816626,336,3.25233333
66751,FAST N FRIENDLY,"I-35, EXIT 132",Emporia,KS,FAST N FRIENDLY Emporia KS ,38.4714948,-96.1844173,336,3.65733333
71991,TA Express Fairview #943,US 36,Fairview,KS,TA Express Fairview #943 Fairview KS ,39.8404714,-95.7345689,570,3.299
10006,FLINT HILLS FUEL MART,US-50 & US-77,Florence,KS,FLINT HILLS FUEL MART Florence KS ,38.2402416,-96.9368549,336,3.499
10128,PETES #20,US-54/SR-7 & US-69,Fort Scott,KS,PETES #20 Fort Scott KS ,37.8544365,-94.7131508,307,3.199
69929,PETES #14,US-69/SR 7,Fort Scott,KS,PETES #14 Fort Scott KS ,37.8544365,-94.7131508,307,3.199
63988,Petes #47,US-400/SR-47,Fredonia,KS,Petes #47 Fredonia KS ,37.5298522,-95.8022494,307,3.299
60913,J Mart #1,"HWY 50 E, HWY 83 N",Garden City,KS,J Mart #1 Garden City KS ,37.988184,-100.91544,525,3.529
64480,TA Garden City,US-83 & US-400,Garden City,KS,TA Garden City Garden City KS ,38.0053836,-100.8845356,525,3.73066666
69167,HOBO TRUCK STOP 2,US-50/400 & US-83,Garden City,KS,HOBO TRUCK STOP 2 Garden City KS ,38.0031691,-100.8546789,525,3.399
71503,LOVES TRAVEL STOP #093,US-80 & US-400/US-50,Garden City,KS,LOVES TRAVEL STOP #093 Garden City KS ,37.9607385,-100.8333302,525,3.729
71568,QUIKTRIP #294,I-35,Gardner,KS,QUIKTRIP #294 Gardner KS ,38.8116574,-94.9130133,485,2.999
63992,SANDRAS QUICK STOP,US-169 & US-59,Garnett,KS,SANDRAS QUICK STOP Garnett KS ,38.260349,-95.2480477,485,3.319
52620,GOODLAND 24/7 STORE,"I-70, EXIT 19",Goodland,KS,GOODLAND 24/7 STORE Goodland KS ,39.350833,-101.7101722,525,3.08733333
52621,CORNER MARKET #111,"I-70, EXIT 27",Goodland,KS,CORNER MARKET #111 Goodland KS ,39.330444,-101.72663,525,3.059
2761,PONY EXPRESS SERVICE CENTER,US-36 & SR-148,Hanover,KS,PONY EXPRESS SERVICE CENTER Hanover KS ,39.9011596,-96.8440824,316,2.95566666
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,GOLDEN OX TRUCK STOP Hays KS ,38.8960212,-99.3170564,523,3.499
2267,Circle K #4703917,"I-65, EXIT 112 & SR-25",Cross Plains,TN,Circle K #4703917 Cross Plains TN ,36.5297474,-86.6479978,460,2.949
2310,MAPCO #3686,"I-24, EXIT 175",Chattanooga,TN,MAPCO #3686 Chattanooga TN ,35.0457984,-85.3093995,285,2.889
2311,SHELL,"I-24 & EPPS MILL RD, EXIT 89",Christiana,TN,SHELL Christiana TN ,35.7207502,-86.3216993,460,3.13233333
67686,CASEYS #2956,"I-315/US-81, EXIT 40",Hesston,KS,CASEYS #2956 Hesston KS ,38.1453511,-97.4212101,570,3.199
64950,CASEYS #2957,US-73 & US-36,Hiawatha,KS,CASEYS #2957 Hiawatha KS ,39.8489617,-95.527828,400,3.15066666
69618,LOVES TRAVEL STOP #656,US-50/400,Holcomb,KS,LOVES TRAVEL STOP #656 Holcomb KS ,38.0013047,-100.9962573,525,3.729
2807,SUDDEN SERVICE #25,"I-24, EXIT 11",Clarksville,TN,SUDDEN SERVICE #25 Clarksville TN ,36.5297706,-87.3611694,460,3.30733333
